isbn,title,author_id,pages,cover_image,summary,rating,id
1,Classical Mythology,1,2002,http://images.amazon.com/images/P/0195153448.01.LZZZZZZZ.jpg,Summary not available,0,1
2,Clara Callan,2,2001,http://images.amazon.com/images/P/0002005018.01.LZZZZZZZ.jpg,Summary not available,0,2
3,Decision in Normandy,3,1991,http://images.amazon.com/images/P/0060973129.01.LZZZZZZZ.jpg,Summary not available,0,3
4,Flu: The Story of the Great Influenza Pandemic of 1918 and the Search for the Virus That Caused It,4,1999,http://images.amazon.com/images/P/0374157065.01.LZZZZZZZ.jpg,Summary not available,0,4
5,The Mummies of Urumchi,5,1999,http://images.amazon.com/images/P/0393045218.01.LZZZZZZZ.jpg,Summary not available,0,5
6,The Kitchen God's Wife,6,1991,http://images.amazon.com/images/P/0399135782.01.LZZZZZZZ.jpg,Summary not available,0,6
7,What If?: The World's Foremost Military Historians Imagine What Might Have Been,7,2000,http://images.amazon.com/images/P/0425176428.01.LZZZZZZZ.jpg,Summary not available,0,7
8,PLEADING GUILTY,8,1993,http://images.amazon.com/images/P/0671870432.01.LZZZZZZZ.jpg,Summary not available,0,8
9,Under the Black Flag: The Romance and the Reality of Life Among the Pirates,9,1996,http://images.amazon.com/images/P/0679425608.01.LZZZZZZZ.jpg,Summary not available,0,9
10,Where You'll Find Me: And Other Stories,10,2002,http://images.amazon.com/images/P/074322678X.01.LZZZZZZZ.jpg,Summary not available,0,10
11,Nights Below Station Street,11,1988,http://images.amazon.com/images/P/0771074670.01.LZZZZZZZ.jpg,Summary not available,0,11
12,Hitler's Secret Bankers: The Myth of Swiss Neutrality During the Holocaust,12,2000,http://images.amazon.com/images/P/080652121X.01.LZZZZZZZ.jpg,Summary not available,0,12
13,The Middle Stories,13,2004,http://images.amazon.com/images/P/0887841740.01.LZZZZZZZ.jpg,Summary not available,0,13
14,Jane Doe,14,1999,http://images.amazon.com/images/P/1552041778.01.LZZZZZZZ.jpg,Summary not available,0,14
15,A Second Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series),15,1998,http://images.amazon.com/images/P/1558746218.01.LZZZZZZZ.jpg,Summary not available,0,15
16,The Witchfinder (Amos Walker Mystery Series),16,1998,http://images.amazon.com/images/P/1567407781.01.LZZZZZZZ.jpg,Summary not available,0,16
17,More Cunning Than Man: A Social History of Rats and Man,17,1999,http://images.amazon.com/images/P/1575663937.01.LZZZZZZZ.jpg,Summary not available,0,17
18,Goodbye to the Buttermilk Sky,18,1994,http://images.amazon.com/images/P/1881320189.01.LZZZZZZZ.jpg,Summary not available,0,18
19,The Testament,19,1999,http://images.amazon.com/images/P/0440234743.01.LZZZZZZZ.jpg,Summary not available,0,19
20,Beloved (Plume Contemporary Fiction),20,1994,http://images.amazon.com/images/P/0452264464.01.LZZZZZZZ.jpg,Summary not available,0,20
21,Our Dumb Century: The Onion Presents 100 Years of Headlines from America's Finest News Source,21,1999,http://images.amazon.com/images/P/0609804618.01.LZZZZZZZ.jpg,Summary not available,0,21
22,New Vegetarian: Bold and Beautiful Recipes for Every Occasion,22,2001,http://images.amazon.com/images/P/1841721522.01.LZZZZZZZ.jpg,Summary not available,0,22
23,If I'd Known Then What I Know Now: Why Not Learn from the Mistakes of Others? : You Can't Afford to Make Them All Yourself,23,2003,http://images.amazon.com/images/P/1879384493.01.LZZZZZZZ.jpg,Summary not available,0,23
24,Mary-Kate & Ashley Switching Goals (Mary-Kate and Ashley Starring in),24,2000,http://images.amazon.com/images/P/0061076031.01.LZZZZZZZ.jpg,Summary not available,0,24
25,Tell Me This Isn't Happening,25,1999,http://images.amazon.com/images/P/0439095026.01.LZZZZZZZ.jpg,Summary not available,0,25
26,Flood : Mississippi 1927,26,1998,http://images.amazon.com/images/P/0689821166.01.LZZZZZZZ.jpg,Summary not available,0,26
27,Wild Animus,27,2004,http://images.amazon.com/images/P/0971880107.01.LZZZZZZZ.jpg,Summary not available,0,27
28,Airframe,28,1997,http://images.amazon.com/images/P/0345402871.01.LZZZZZZZ.jpg,Summary not available,0,28
29,Timeline,29,2000,http://images.amazon.com/images/P/0345417623.01.LZZZZZZZ.jpg,Summary not available,0,29
30,OUT OF THE SILENT PLANET,30,1996,http://images.amazon.com/images/P/0684823802.01.LZZZZZZZ.jpg,Summary not available,0,30
31,Prague : A Novel,31,2003,http://images.amazon.com/images/P/0375759778.01.LZZZZZZZ.jpg,Summary not available,0,31
32,Chocolate Jesus,32,1998,http://images.amazon.com/images/P/0425163091.01.LZZZZZZZ.jpg,Summary not available,0,32
33,Wie Barney es sieht.,33,2002,http://images.amazon.com/images/P/3404921038.01.LZZZZZZZ.jpg,Summary not available,0,33
34,Der Fluch der Kaiserin. Ein Richter- Di- Roman.,34,2001,http://images.amazon.com/images/P/3442353866.01.LZZZZZZZ.jpg,Summary not available,0,34
35,Sturmzeit. Roman.,35,1991,http://images.amazon.com/images/P/3442410665.01.LZZZZZZZ.jpg,Summary not available,0,35
36,Tage der Unschuld.,36,2000,http://images.amazon.com/images/P/3442446937.01.LZZZZZZZ.jpg,Summary not available,0,36
37,Lying Awake,37,2000,http://images.amazon.com/images/P/0375406328.01.LZZZZZZZ.jpg,Summary not available,0,37
38,To Kill a Mockingbird,38,1988,http://images.amazon.com/images/P/0446310786.01.LZZZZZZZ.jpg,Summary not available,0,38
39,Seabiscuit: An American Legend,39,2002,http://images.amazon.com/images/P/0449005615.01.LZZZZZZZ.jpg,Summary not available,0,39
40,Pigs in Heaven,40,1993,http://images.amazon.com/images/P/0060168013.01.LZZZZZZZ.jpg,Summary not available,0,40
41,Miss Zukas and the Raven's Dance,41,1996,http://images.amazon.com/images/P/038078243X.01.LZZZZZZZ.jpg,Summary not available,0,41
42,Pride and Prejudice,42,1983,http://images.amazon.com/images/P/055321215X.01.LZZZZZZZ.jpg,Summary not available,0,42
43,The Therapeutic Touch: How to Use Your Hands to Help or to Heal,43,1979,http://images.amazon.com/images/P/067176537X.01.LZZZZZZZ.jpg,Summary not available,0,43
44,Downtown,44,1995,http://images.amazon.com/images/P/0061099686.01.LZZZZZZZ.jpg,Summary not available,0,44
45,Icebound,45,2000,http://images.amazon.com/images/P/0553582909.01.LZZZZZZZ.jpg,Summary not available,0,45
46,I'll Be Seeing You,46,1994,http://images.amazon.com/images/P/0671888587.01.LZZZZZZZ.jpg,Summary not available,0,46
47,From the Corner of His Eye,47,2001,http://images.amazon.com/images/P/0553582747.01.LZZZZZZZ.jpg,Summary not available,0,47
48,Isle of Dogs,48,2002,http://images.amazon.com/images/P/0425182908.01.LZZZZZZZ.jpg,Summary not available,0,48
49,Purity in Death,49,2002,http://images.amazon.com/images/P/042518630X.01.LZZZZZZZ.jpg,Summary not available,0,49
