book_id,category_id
1,4
2,5
3,3
4,1
5,3
6,4
7,1
8,5
9,1
10,2
11,5
12,3
13,1
14,4
15,5
16,3
17,4
18,1
19,3
20,5
21,4
22,5
23,1
24,4
25,1
26,1
27,1
28,3
29,2
30,2
31,1
32,4
33,1
34,3
35,4
36,4
37,5
38,2
39,1
40,1
41,1
42,5
43,4
44,1
45,3
46,3
47,2
48,1
49,2
50,4
51,1
52,4
53,4
54,4
55,3
56,1
57,3
58,5
59,4
60,4
61,2
62,1
63,4
64,4
65,4
66,1
67,3
68,5
69,2
70,2
71,5
72,5
73,5
74,4
75,3
76,2
77,2
78,1
79,3
80,2
81,2
82,4
83,5
84,3
85,3
86,3
87,4
88,2
89,5
90,4
91,1
92,1
93,3
94,4
95,5
96,4
97,1
98,4
99,2
100,1
101,5
102,4
103,4
104,2
105,2
106,5
107,3
108,5
109,5
110,2
111,2
112,5
113,4
114,3
115,3
116,3
117,4
118,5
119,5
120,4
121,2
122,3
123,3
124,2
125,4
126,1
127,2
128,2
129,4
130,2
131,4
132,3
133,1
134,3
135,1
136,1
137,5
138,3
139,4
140,3
141,1
142,3
143,1
144,4
145,3
146,3
147,4
148,3
149,5
150,4
151,5
152,5
153,5
154,4
155,3
156,4
157,5
158,2
159,1
160,2
161,4
162,4
163,5
164,3
165,4
166,5
167,5
168,4
169,3
170,5
171,3
172,2
173,4
174,3
175,4
176,3
177,2
178,4
179,5
180,2
181,3
182,5
183,3
184,4
185,4
186,1
187,4
188,5
189,3
190,5
191,5
192,1
193,4
194,4
195,1
196,2
197,1
198,4
199,2
200,4
201,3
202,4
203,4
204,4
205,5
206,3
207,4
208,4
209,3
210,2
211,2
212,5
213,2
214,4
215,3
216,5
217,1
218,4
219,4
220,5
221,3
222,5
223,5
224,2
225,4
226,5
227,4
228,2
229,3
230,4
231,3
232,3
233,5
234,5
235,3
236,3
237,2
238,4
239,4
240,3
241,1
242,4
243,3
244,5
245,3
246,5
247,4
248,5
249,3
250,4
251,4
252,2
253,4
254,5
255,3
256,3
257,5
258,4
259,2
260,2
261,1
262,1
263,3
264,4
265,1
266,2
267,3
268,4
269,3
270,4
271,5
272,2
273,3
274,3
275,2
276,5
277,4
278,1
279,1
280,3
281,1
282,5
283,5
284,3
285,3
286,1
287,4
288,5
289,2
290,2
291,3
292,1
293,4
294,3
295,2
296,4
297,3
298,3
299,3
300,5
301,4
302,4
303,1
304,2
305,5
306,1
307,4
308,1
309,2
310,2
311,1
312,1
313,4
314,5
315,2
316,4
317,2
318,2
319,3
320,2
321,4
322,5
323,4
324,3
325,2
326,2
327,1
328,1
329,3
330,3
331,3
332,5
333,5
334,1
335,5
336,3
337,3
338,1
339,1
340,2
341,3
342,1
343,4
344,2
345,2
346,1
347,1
348,3
349,1
350,3
351,4
352,4
353,3
354,5
355,4
356,2
357,2
358,5
359,3
360,2
361,5
362,1
363,1
364,2
365,2
366,4
367,5
368,2
369,5
370,2
371,5
372,5
373,5
374,5
375,3
376,1
377,3
378,2
379,3
380,1
381,2
382,1
383,4
384,1
385,5
386,2
387,2
388,4
389,2
390,3
391,5
392,2
393,3
394,5
395,3
396,2
397,5
398,4
399,2
400,4
401,3
402,4
403,1
404,3
405,3
406,2
407,1
408,1
409,4
410,4
411,5
412,3
413,4
414,1
415,4
416,2
417,1
418,1
419,1
420,3
421,3
422,4
423,5
424,4
425,2
426,3
427,2
428,4
429,5
430,5
431,4
432,2
433,1
434,3
435,1
436,3
437,1
438,2
439,3
440,2
441,3
442,3
443,5
444,1
445,1
446,4
447,3
448,5
449,2
450,3
451,2
452,3
453,4
454,4
455,4
456,1
457,1
458,5
459,5
460,5
461,3
462,1
463,5
464,5
465,5
466,3
467,4
468,5
469,2
470,2
471,5
472,4
473,4
474,4
475,1
476,1
477,3
478,1
479,3
480,5
481,4
482,4
483,2
484,2
485,3
486,1
487,5
488,1
489,4
490,3
491,3
492,5
493,1
494,5
495,5
496,1
497,3
498,5
499,5
500,3
501,5
502,5
503,5
504,2
505,1
506,4
507,3
508,5
509,1
510,5
511,5
512,3
513,5
514,1
515,3
516,5
517,3
518,4
519,2
520,1
521,2
522,3
523,2
524,3
525,4
526,2
527,3
528,1
529,3
530,2
531,2
532,3
533,5
534,5
535,5
536,3
537,2
538,1
539,3
540,5
541,4
542,3
543,2
544,4
545,4
546,1
547,3
548,5
549,2
550,2
551,2
552,5
553,2
554,3
555,2
556,2
557,4
558,1
559,4
560,4
561,1
562,1
563,1
564,5
565,4
566,4
567,3
568,4
569,4
570,2
571,2
572,1
573,2
574,1
575,5
576,2
577,1
578,3
579,2
580,4
581,5
582,5
583,2
584,4
585,2
586,1
587,1
588,2
589,4
590,5
591,3
592,4
593,1
594,2
595,5
596,4
597,1
598,1
599,3
600,2
601,5
602,3
603,3
604,3
605,2
606,5
607,2
608,4
609,4
610,2
611,2
612,1
613,5
614,2
615,4
616,5
617,4
618,3
619,2
620,1
621,3
622,4
623,5
624,3
625,4
626,1
627,2
628,1
629,4
630,3
631,5
632,2
633,4
634,3
635,1
636,3
637,5
638,5
639,1
640,5
641,2
642,2
643,3
644,1
645,2
646,2
647,5
648,4
649,3
650,2
651,1
652,4
653,3
654,1
655,5
656,4
657,4
658,2
659,3
660,1
661,3
662,2
663,5
664,4
665,3
666,2
667,3
668,3
669,2
670,1
671,5
672,2
673,3
674,2
675,4
676,4
677,5
678,5
679,1
680,4
681,5
682,1
683,5
684,4
685,5
686,2
687,3
688,5
689,2
690,2
691,4
692,2
693,3
694,2
695,2
696,3
697,1
698,1
699,5
700,3
701,5
702,1
703,4
704,5
705,3
706,1
707,5
708,4
709,4
710,3
711,3
712,4
713,1
714,3
715,4
716,4
717,2
718,4
719,3
720,3
721,5
722,1
723,5
724,5
725,1
726,2
727,4
728,1
729,2
730,1
731,4
732,2
733,4
734,1
735,4
736,1
737,1
738,5
739,1
740,3
741,4
742,1
743,3
744,3
745,2
746,1
747,4
748,5
749,5
750,2
751,4
752,1
753,2
754,1
755,3
756,4
757,5
758,3
759,1
760,3
761,2
762,2
763,3
764,2
765,1
766,5
767,2
768,1
769,5
770,2
771,2
772,5
773,3
774,3
775,2
776,4
777,2
778,5
779,2
780,5
